Tank,Date (on photo),Photo,snail index,Length,Width,Ratio,Day,Week,Comment
1,5/1/2019,DSC02140.JPG,1,5.42,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,2,6.75,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,3,5.04,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,4,5.16,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,5,5.51,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,6,5.11,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,7,4.45,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,8,5.51,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,9,5.51,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,10,5.76,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,11,5.79,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,12,5.36,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,13,5.8,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,14,7.45,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,15,7.36,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,16,8.48,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,17,7.65,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,18,7.03,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,19,7.94,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,20,7.56,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,21,8.81,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,22,8.58,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,23,8.51,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,24,10.75,,#DIV/0!,0,0,
1,5/1/2019,DSC02140.JPG,25,11.44,,#DIV/0!,0,0,
1,5/8/2019,DSC02216.JPG,1,9.8,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,2,7.91,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,3,6.35,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,4,6.81,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,5,7,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,6,7.58,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,7,9.21,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,8,9.01,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,9,12.44,,#DIV/0!,7,1,
1,5/8/2019,DSC02216.JPG,10,9.99,,#DIV/0!,7,1,
